20180831-20180916-cccc-1-rapid-rumble-15+5-stage-1.pgn: CCCC 1: Rapid Rumble (15|5) Stage 1
20200408-20200414-ccc-13-finals-15-5.pgn: CCC 13: Finals (15|5)
20200603-20200610-ccc-14-round-1-15-5.pgn: CCC 14: Round 1 (15|5)
20200610-20200610-ccc-14-9-winter-vs-ethereal-15-5.pgn: CCC 14.9: Winter vs Ethereal (15|5)
20200610-20200611-ccc-14-11-rofchade-vs-rubi-15-5.pgn: CCC 14.11: rofChade vs Rubi (15|5)
20200611-20200611-ccc-14-12-defenchess-vs-komodo-mc-15-5.pgn: CCC 14.12: Defenchess vs Komodo MC (15|5)
20200611-20200612-ccc-14-10-dark-queen-vs-xiphos-15-5.pgn: CCC 14.10: Dark Queen vs Xiphos (15|5)
20200612-20200612-ccc-14-13-lc0-vs-fire-15-5.pgn: CCC 14.13: Lc0 vs Fire (15|5)
20200612-20200613-ccc-14-14-stockfish-vs-komodo-15-5.pgn: CCC 14.14: Stockfish vs Komodo (15|5)
20200613-20200614-ccc-14-17-ethereal-vs-fire-15-5.pgn: CCC 14.17: Ethereal vs Fire (15|5)
20200614-20200614-ccc-14-15-scorpio-vs-stoofvlees-15-5.pgn: CCC 14.15: Scorpio vs Stoofvlees (15|5)
20200614-20200614-ccc-14-18-dark-queen-vs-komodo-15-5.pgn: CCC 14.18: Dark Queen vs Komodo (15|5)
20200615-20200615-ccc-14-19-scorpio-vs-rofchade-15-5.pgn: CCC 14.19: Scorpio vs rofChade (15|5)
20200615-20200616-ccc-14-23-fire-vs-komodo-15-5.pgn: CCC 14.23: Fire vs Komodo (15|5)
20200623-20200623-ccc-14-20-leelenstein-vs-lc0-cpu-15-5.pgn: CCC 14.20: Leelenstein vs Lc0 CPU (15|5)
20200623-20200624-ccc-14-20-lc0-cpu-vs-komodo-mc-15-5.pgn: CCC 14.20: Lc0-CPU vs Komodo MC (15|5)
20200624-20200624-ccc-14-21-lc0-vs-stockfish-15-5.pgn: CCC 14.21: Lc0 vs Stockfish (15|5)
20200624-20200625-ccc-14-21-lc0-vs-stockfish-ii-15-5.pgn: CCC 14.21: Lc0 vs Stockfish II (15|5)
20200625-20200625-ccc-14-22-stoofvlees-vs-leelenstein-15-5.pgn: CCC 14.22: Stoofvlees vs Leelenstein (15|5)
20200625-20200625-ccc-14-25-stoofvlees-vs-komodo-15-5.pgn: CCC 14.25: Stoofvlees vs Komodo (15|5)
20200625-20200626-ccc-14-24-scorpio-vs-lc0-cpu-15-5.pgn: CCC 14.24: Scorpio vs Lc0-CPU (15|5)
20200626-20200626-ccc-14-24-scorpio-vs-lc0-cpu-tiebreak-15-5.pgn: CCC 14.24: Scorpio vs Lc0-CPU (Tiebreak) (15|5)
20200626-20200626-ccc-14-26-lc0-vs-lc0-cpu-15-5.pgn: CCC 14.26: Lc0 vs Lc0 CPU (15|5)
20200626-20200627-ccc-14-27-stockfish-vs-leelenstein-15-5.pgn: CCC 14.27: Stockfish vs Leelenstein (15|5)
20200627-20200627-ccc-14-27-stockfish-vs-leelenstein-tiebreak-15-5.pgn: CCC 14.27: Stockfish vs Leelenstein (Tiebreak) (15|5)
20200627-20200627-ccc-14-27-stockfish-vs-leelenstein-tiebreak-ii-5-2.pgn: CCC 14.27: Stockfish vs Leelenstein (Tiebreak II) (5|2)
20200627-20200627-ccc-14-27-stockfish-vs-leelenstein-tiebreak-iii-5-2.pgn: CCC 14.27: Stockfish vs Leelenstein (Tiebreak III) (5|2)
20200627-20200627-ccc-14-27-stockfish-vs-leelenstein-tiebreak-iv-1-1.pgn: CCC 14.27: Stockfish vs Leelenstein (Tiebreak IV) (1|1)
20200627-20200627-ccc-14-28-lc0-vs-stoofvlees-15-5.pgn: CCC 14.28: Lc0 vs Stoofvlees (15|5)
20200627-20200628-ccc-14-28-lc0-vs-stoofvlees-tiebreak-15-5.pgn: CCC 14.28: Lc0 vs Stoofvlees (Tiebreak) (15|5)
20200628-20200628-ccc-14-29-stockfish-vs-lc0-15-5.pgn: CCC 14.29: Stockfish vs Lc0 (15|5)
20200628-20200628-ccc-14-29-stockfish-vs-lc0-tiebreak-15-5.pgn: CCC 14.29: Stockfish vs Lc0 (Tiebreak) (15|5)
20200628-20200628-ccc-14-29-stockfish-vs-lc0-tiebreak-ii-5-2.pgn: CCC 14.29: Stockfish vs Lc0 (Tiebreak II) (5|2)
20200628-20200629-ccc-14-30-lc0-vs-leelenstein-i-15-5.pgn: CCC 14.30: Lc0 vs Leelenstein I (15|5)
20200629-20200629-ccc-14-30-lc0-vs-leelenstein-i-tiebreak-15-5.pgn: CCC 14.30: Lc0 vs Leelenstein I (Tiebreak) (15|5)
20200629-20200629-ccc-14-30-lc0-vs-leelenstein-i-tiebreak-ii-5-2.pgn: CCC 14.30: Lc0 vs Leelenstein I (Tiebreak II) (5|2)
20200629-20200630-ccc-14-31-lc0-vs-leelenstein-ii-15-5.pgn: CCC 14.31: Lc0 vs Leelenstein II (15|5)
20200630-20200630-ccc-14-31-lc0-vs-leelenstein-ii-tiebreak-15-5.pgn: CCC 14.31: Lc0 vs Leelenstein II (Tiebreak) (15|5)
20200827-20200828-ccc-15-02-komodo-mc-vs-lc0-cpu-1-1.pgn: CCC 15.02: Komodo MC vs Lc0 CPU (1|1)
20200828-20200829-ccc-15-05-fire-vs-ethereal-1-1.pgn: CCC 15.05: Fire vs Ethereal (1|1)
20200829-20200830-ccc-15-08-stockfish-vs-defenchess-1-1.pgn: CCC 15.08: Stockfish vs Defenchess (1|1)
20200830-20200831-ccc-15-03-stoofvlees-vs-slowchess-1-1.pgn: CCC 15.03: Stoofvlees vs SlowChess (1|1)
20200831-20200901-ccc-15-09-leelenstein-vs-rubichess-1-1.pgn: CCC 15.09: Leelenstein vs RubiChess (1|1)
20200901-20200902-ccc-15-06-komodo-vs-xiphos-1-1.pgn: CCC 15.06: Komodo vs Xiphos (1|1)
20200902-20200903-ccc-15-07-stockfish-classic-vs-rofchade-1-1.pgn: CCC 15.07: Stockfish Classic vs rofChade (1|1)
20201112-20201126-ccc-blitz-championship-2020-5-5.pgn: CCC Blitz Championship 2020 (5|5)
20201126-20201203-ccc-blitz-championship-2020-semi-finals-5-5.pgn: CCC Blitz Championship 2020: Semi-finals (5|5)
20201203-20201210-ccc-blitz-championship-2020-finals-5-5.pgn: CCC Blitz Championship 2020: Finals (5|5)
20210115-20210122-ccc-rapid-2021-qualifiers-15-3.pgn: CCC Rapid 2021: Qualifiers (15|3)
20210122-20210129-ccc-rapid-2021-nnue-league-15-3.pgn: CCC Rapid 2021: NNUE League (15|3)
20210129-20210206-ccc-rapid-2021-main-league-15-3.pgn: CCC Rapid 2021: Main League (15|3)
20210206-20210217-ccc-rapid-2021-nn-vs-classic-15-3.pgn: CCC Rapid 2021: NN vs Classic (15|3)
20210217-20210303-ccc-rapid-2021-elite-round-15-3.pgn: CCC Rapid 2021: Elite Round (15|3)
20210304-20210317-ccc-rapid-2021-finals-15-3.pgn: CCC Rapid 2021: Finals (15|3)
20210817-20210831-ccc-blitz-championship-2021-5-5.pgn: CCC Blitz Championship 2021 (5|5)
20210831-20210907-ccc-blitz-championship-2021-semifinals-5-5.pgn: CCC Blitz Championship 2021: Semifinals (5|5)
20210907-20210911-ccc-blitz-championship-2021-finals-5-5.pgn: CCC Blitz Championship 2021: Finals (5|5)
